First Line Health,330 S. Garfield Ave,Suite 228,Alhambra,CA,91801,(310) 954-9938,
Rudolph Multi Specialty Group,10399 Lemon Avenue,Suite 105 Alta Loma,Los Angeles,CA,91737,(909) 483-3530,(909) 380-7752
First Line Health,212 S. Grand Avenue,Santa Ana,Orange,CA,92701,(310) 954-9938,
So Cal Chiros,2390 E. Orangewood Avenue,Suite 400 Anaheim,Anaheim,CA,92806,(714) 808-9666,(714) 808-1666
So Cal Chiros,11525 Brookshire Avenue,Suite 202,Downey,CA,90241,(714) 808-9666,(714) 808-1666
Greenfield Integrated,11920 Ramona,,El Monte,CA,91732,(626) 448-5501,(626) 448-5502
MedNation,2920 F Street,Suite C-5,Bakersfield,CA,93301,(818) 697-6190,(888) 391-7488
First Line Health,"2920 ""F"" Street",Suite 15,Bakersfield,CA,93301,(310) 954-9938,
Advance Care,4025 Maine St.,,Baldwin Park,CA,91706,(800) 850-2693,(866) 273-1775
Rise Wellness Center,5030 Bonita Rd.,Suite B Bonita,Los Angeles,CA,91902,(619) 479-7473,(619) 479-9376
Crosby Square Chiro,420 Heffernan Ave,Suite B-1,Calexico,CA,92231,(619) 238-0096,(619) 232-7046
First Line Health,420 Heffernan Ave,Suite B-1,Calexico,CA,92231,(310) 954-9938,
Southland Spine,1520 Nutmeg Place,Suite 110,Costa Mesa,CA,92626,(714) 751-8110,(714) 751-5098
Dr. Jalil Rashti,16661 Ventura Blvd,Suite 701 Encino,Los Angeles,CA,91436,(818) 386-1823,(818) 907-0255
Crosby Square Chiro,240 S. Hickory St.,Suite 106,Escondido,CA,92025,(619) 238-0096,(619) 232-7046
First Line Health,240 S. Hickory,Suite 106,Escondido,CA,92025,(310) 954-9938,
MedNation,5339 North Fresno,Suite 105,Fresno,CA,93710,(818) 697-6190,(888) 391-7488
Lighthouse Medical Mgt,8832 Sierra Ave. Fontana,,Fontana,CA,92335,(909) 854-4900,(909) 854-4224
Glendale Urgency Chiropractic Clinic,319 South Brand Blvd.,,Glendale,CA,91204,(818) 901-0388,(818) 507-0126
Rudolph Multi Specialty Group.,10918 Hesperia Road,Suite B,Hesperia,CA,92345,(909) 483-3530,(909) 380-7752
Lighthouse Medical Mgt,6011 Pacific Blvd.,Suite 123,Huntington Park,CA,90255,(909) 854-4224,(909) 565-4406
First Line Health,6522 Pacific Blvd.,,Huntington Park,CA,90255,(310) 954-9938,
Rudolph Multi Specialty Group,81557 Doctor Carreon Blvd,Suite B5 Indio,Indio,CA,92201,(909) 483-3530,(909) 380-7752
First Line Health,44075 Jackson Street,Suite C,Indio,CA,92201,(310) 954-9938,
Advance Care,2690 Pacific Avenue,#255,Long Beach,CA,90806,(800) 850-2693,(866) 273-1775
Willow Medical Group,3311 E. Willow St.,,Long Beach,CA,90806,(562) 424-4976,(562) 424-5960
First Line Health,4300 Long Beach Blvd,Suite 170,Long Beach,CA,90807,(310) 954-9938,
MedNation,4201 Long Beach Blvd.,Suite 430,Long Beach,CA,90807,(818) 697-6190,(888) 391-7488
MedNation,3580 Wilshire Blvd.,Suite 100,Los Angeles,CA,90010,(818) 697-6190,(888) 391-7488
Atlantis Health Management,3800 E. Cesar Chavez E. Ave,,Los Angeles,CA,90063,(323) 264-6296,(323) 395-5782
Dr. Jalil Rashti,3800 East Cesar Chavez Ave,,Los Angeles,CA,90063,(818) 386-1823,(818) 907-0255
SCOP,8610 South Sepulveda Blvd.,Suite 109,Los Angeles,CA,90045,(310) 337-3700,(310) 337-1643
